Merit,Department
1461,Dept. of Mathematics
1462,Dept. of Soil Science
1463,Dept. of Electrical and Electronic Engineering
1465,Dept. of Geography and Environmental Studies
1466,Dept. of Statistics
1468,Dept. of Botany
1470,Dept. of Zoology
1471,Dept. of Mathematics
1473,Dept. of Soil Science
1474,Dept. of Physics
1477,Dept. of Mathematics
1479,Dept. of Physics
1481,Dept. of Mathematics
1487,Dept. of Soil Science
1491,Dept. of Statistics
1496,Dept. of Statistics
1498,Dept. of Mathematics
1502,Dept. of Mathematics
1503,Dept. of Statistics
1505,Dept. of Physics
1506,Dept. of Physics
1511,Dept. of Statistics
1512,Dept. of Statistics
1513,Dept. of Zoology
1515,Dept. of Statistics
1516,Dept. of Mathematics
1517,Dept. of Mathematics
1520,Dept. of Statistics
1523,Dept. of Physics
1524,Dept. of Statistics
1525,Dept. of Statistics
1530,Dept. of Botany
1531,Dept. of Statistics
1533,Dept. of Statistics
1536,Dept. of Physics
1539,Dept. of Geography and Environmental Studies
1541,Dept. of Geography and Environmental Studies
1545,Dept. of Electrical and Electronic Engineering
1547,Dept. of Mathematics
1548,Dept. of Physics
1549,Dept. of Geography and Environmental Studies
1554,Dept. of Statistics
1556,Dept. of Statistics
1557,Dept. of Electrical and Electronic Engineering
1561,Dept. of Mathematics
1562,Dept. of Soil Science
1564,Dept. of Physics
1567,Dept. of Mathematics
1569,Dept. of Zoology
1578,Dept. of Mathematics
1580,Dept. of Statistics
1582,Dept. of Statistics
1583,Dept. of Physics
1584,Dept. of Physics
1585,Dept. of Zoology
1586,Dept. of Botany
1593,Dept. of Statistics
1594,Dept. of Mathematics
1597,Dept. of Statistics
1601,Dept. of Mathematics
1605,Dept. of Electrical and Electronic Engineering
1606,Dept. of Statistics
1607,Dept. of Mathematics
1608,Dept. of Physics
1611,Dept. of Mathematics
1612,Dept. of Geography and Environmental Studies
1620,Dept. of Mathematics
1621,Dept. of Mathematics
1622,Dept. of Physics
1623,Dept. of Statistics
1625,Dept. of Statistics
1630,Dept. of Oceanography
1631,Dept. of Physics
1634,Dept. of Physics
1637,Dept. of Statistics
1639,Dept. of Mathematics
1645,Dept. of Botany
1649,Dept. of Mathematics
1650,Dept. of Statistics
1651,Dept. of Physics
1652,Dept. of Geography and Environmental Studies
1654,Dept. of Statistics
1659,Dept. of Mathematics
1661,Dept. of Statistics
1669,Dept. of Physics
1673,Dept. of Botany
1676,Dept. of Mathematics
1678,Dept. of Statistics
1684,Dept. of Geography and Environmental Studies
1690,Dept. of Statistics
1694,Dept. of Psychology
1698,Dept. of Mathematics
1701,Dept. of Mathematics
1702,Dept. of Mathematics
1705,Dept. of Soil Science
1712,Dept. of Physics
1713,Dept. of Botany
1719,Dept. of Botany
1720,Dept. of Physics
1722,Dept. of Mathematics
1723,Dept. of Botany
1729,Dept. of Statistics
1730,Dept. of Physics
1731,Dept. of Mathematics
1732,Dept. of Statistics
1734,Dept. of Physics
1740,Dept. of Mathematics
1742,Dept. of Oceanography
1744,Dept. of Statistics
1749,Dept. of Soil Science
1750,Dept. of Zoology
1752,Dept. of Oceanography
1758,Dept. of Psychology
1760,Dept. of Mathematics
1761,Dept. of Electrical and Electronic Engineering
1767,Dept. of Physics
1769,Dept. of Statistics
1770,Dept. of Statistics
1771,Dept. of Zoology
1777,Dept. of Oceanography
1778,Dept. of Zoology
1787,Dept. of Zoology
1788,Dept. of Statistics
1789,Dept. of Geography and Environmental Studies
1791,Dept. of Statistics
1795,Dept. of Physics
1796,Dept. of Statistics
1797,Dept. of Psychology
1802,Dept. of Physics
1806,Dept. of Oceanography
1808,Dept. of Mathematics
1810,Dept. of Psychology
1814,Dept. of Oceanography
1815,Dept. of Oceanography
1825,Dept. of Mathematics
1826,Dept. of Mathematics
1828,Dept. of Mathematics
1829,Dept. of Physics
1832,Dept. of Physics
1833,Dept. of Oceanography
1840,Dept. of Physics
1842,Dept. of Physics
1846,Dept. of Oceanography
1852,Dept. of Statistics
1854,Dept. of Physics
1856,Dept. of Physics
1863,Dept. of Botany
1864,Dept. of Oceanography
1865,Dept. of Soil Science
1866,Dept. of Psychology
1868,Dept. of Psychology
1871,Dept. of Statistics
1872,Dept. of Mathematics
1874,Dept. of Physics
1875,Dept. of Statistics
1876,Dept. of Statistics
1880,Dept. of Physics
1881,Dept. of Botany
1882,Dept. of Mathematics
1886,Dept. of Soil Science
1888,Dept. of Mathematics
1889,Dept. of Mathematics
1890,Dept. of Physics
1891,Dept. of Statistics
1895,Dept. of Electrical and Electronic Engineering
1897,Dept. of Physics
1898,Dept. of Zoology
1899,Dept. of Soil Science
1901,Dept. of Botany
1903,Dept. of Soil Science
1905,Dept. of Statistics
1906,Dept. of Statistics
1907,Dept. of Zoology
1911,Dept. of Oceanography
1916,Dept. of Geography and Environmental Studies
1919,Dept. of Botany
1920,Dept. of Physics
1930,Dept. of Botany
1931,Dept. of Statistics
1934,Dept. of Psychology
1935,Dept. of Soil Science
1940,Dept. of Physics
1942,Dept. of Statistics
1944,Dept. of Statistics
1945,Dept. of Physics
1950,Dept. of Physics
1951,Dept. of Oceanography
1952,Dept. of Physics
1956,Dept. of Statistics
1957,Dept. of Electrical and Electronic Engineering
1960,Dept. of Electrical and Electronic Engineering
1963,Dept. of Electrical and Electronic Engineering
1964,Dept. of Statistics
1965,Dept. of Electrical and Electronic Engineering
