Merit,Department
1375,Dept. of Persian Language & Literature
1378,Dept. of Persian Language & Literature
1379,Dept. of Sanskrit
1381,Dept. of Persian Language & Literature
1382,Dept. of Persian Language & Literature
1384,Dept. of Persian Language & Literature
1385,Dept. of Persian Language & Literature
1386,Dept. of Islamic Studies
1387,Dept. of Persian Language & Literature
1388,Dept. of Persian Language & Literature
1389,Dept. of Persian Language & Literature
1390,Dept. of Persian Language & Literature
1391,Dept. of Persian Language & Literature
1392,Dept. of Persian Language & Literature
1393,Dept. of Persian Language & Literature
1394,Institute of Modern Languages
1395,Institute of Modern Languages
1396,Dept. of Islamic Studies
1397,Dept. of Pali
1400,Dept. of Persian Language & Literature
1401,Dept. of Sanskrit
1404,Institute of Modern Languages
1405,Dept. of Persian Language & Literature
1406,Dept. of Persian Language & Literature
1407,Institute of Modern Languages
1410,Dept. of Persian Language & Literature
1412,Dept. of Persian Language & Literature
1413,Dept. of Sanskrit
1414,Institute of Modern Languages
1417,Institute of Modern Languages
1420,Institute of Education and Research
1427,Dept. of Islamic Studies
1429,Dept. of Persian Language & Literature
1430,Dept. of Persian Language & Literature
1431,Dept. of Persian Language & Literature
1432,Dept. of Persian Language & Literature
1433,Dept. of Persian Language & Literature
1435,Dept. of Persian Language & Literature
1436,Dept. of Persian Language & Literature
1437,Dept. of Persian Language & Literature
1438,Dept. of Persian Language & Literature
1439,Dept. of Islamic Studies
1440,Institute of Modern Languages
1441,Dept. of Persian Language & Literature
1442,Dept. of Persian Language & Literature
1443,Dept. of Persian Language & Literature
1444,Institute of Modern Languages
1445,Dept. of Persian Language & Literature
1446,Institute of Modern Languages
1448,Institute of Modern Languages
1449,Dept. of Persian Language & Literature
1450,Dept. of Sanskrit
1452,Institute of Modern Languages
1453,Dept. of Islamic Studies
1455,Dept. of Persian Language & Literature
1456,Dept. of Persian Language & Literature
1457,Institute of Modern Languages
1460,Institute of Modern Languages
1461,Dept. of Persian Language & Literature
1462,Dept. of Persian Language & Literature
1463,Dept. of Pali
1466,Institute of Modern Languages
1470,Institute of Modern Languages
1471,Institute of Modern Languages
1473,Dept. of Islamic Studies
1474,Dept. of Arabic
1475,Dept. of Islamic Studies
1480,Institute of Modern Languages
1481,Institute of Modern Languages
1482,Institute of Modern Languages
1485,Dept. of Islamic Studies
1489,Dept. of Arabic
1490,Dept. of Islamic Studies
1491,Institute of Modern Languages
1496,Institute of Modern Languages
1498,Institute of Modern Languages
1499,Institute of Modern Languages
1501,Institute of Modern Languages
1505,Dept. of Islamic Studies
1507,Institute of Modern Languages
1509,Dept. of Sanskrit
1511,Institute of Modern Languages
1512,Institute of Modern Languages
1513,Dept. of Arabic
1514,Institute of Modern Languages
1550,Dept. of Islamic Studies
1568,Dept. of Islamic Studies
1578,Dept. of Islamic Studies
1584,Dept. of Islamic Studies
1587,Dept. of Islamic Studies
1596,Dept. of Sanskrit
1598,Institute of Education and Research
1627,Dept. of Sanskrit
1634,Dept. of Arabic
1635,Dept. of Islamic Studies
1636,Institute of Education and Research
1653,Dept. of Sanskrit
1678,Dept. of Sanskrit
1679,Dept. of Islamic Studies
1683,Dept. of Islamic Studies
1691,Dept. of Sanskrit
1693,Dept. of Islamic Studies
1695,Dept. of Islamic Studies
1700,Dept. of Sanskrit
1707,Dept. of Islamic Studies
1709,Dept. of Islamic Studies
1728,Dept. of Sanskrit
1746,Dept. of Islamic Studies
1758,Dept. of Islamic Studies
1768,Dept. of Arabic
1772,Institute of Education and Research
1789,Dept. of Sanskrit
1800,Dept. of Sanskrit
1805,Dept. of Islamic Studies
1820,Dept. of Islamic Studies
1831,Dept. of Sanskrit
1842,Dept. of Islamic Studies
1844,Dept. of Arabic
1846,Dept. of Islamic Studies
1847,Dept. of Islamic Studies
1855,Dept. of Sanskrit
1865,Dept. of Sanskrit
1884,Institute of Education and Research
1910,Institute of Education and Research
1911,Dept. of Islamic Studies
1913,Dept. of Arabic
1920,Dept. of Islamic Studies
1922,Dept. of Islamic Studies
1923,Dept. of Sanskrit
1924,Dept. of Sanskrit
1925,Dept. of Islamic Studies
1926,Dept. of Sanskrit
1929,Dept. of Arabic
1931,Dept. of Sanskrit
1935,Dept. of Islamic Studies
1943,Dept. of Islamic Studies
1949,Dept. of Islamic Studies
1959,Institute of Education and Research
1965,Dept. of Islamic Studies
1968,Dept. of Sanskrit
1970,Institute of Education and Research
1973,Dept. of Arabic
1976,Institute of Education and Research
1978,Dept. of Sanskrit
1983,Dept. of Arabic
1987,Dept. of Sanskrit
1988,Dept. of Sanskrit
1991,Institute of Education and Research
1992,Dept. of Sanskrit
2003,Dept. of Arabic
2007,Dept. of Islamic Studies
2008,Dept. of Sanskrit
2010,Dept. of Sanskrit
2037,Dept. of Islamic Studies
2079,Dept. of Islamic Studies
2083,Dept. of Islamic Studies
2088,Dept. of Islamic Studies
2099,Dept. of Pali
2104,Dept. of Islamic Studies
2122,Dept. of Islamic Studies
2140,Dept. of Islamic Studies
2141,Dept. of Islamic Studies
2164,Dept. of Islamic Studies
2172,Dept. of Islamic Studies
2182,Dept. of Pali
2186,Dept. of Sanskrit
2189,Dept. of Islamic Studies
2205,Dept. of Islamic Studies
2209,Dept. of Sanskrit
2217,Dept. of Islamic Studies
2226,Dept. of Islamic Studies
2227,Dept. of Sanskrit
2230,Institute of Education and Research
2244,Dept. of Arabic
2251,Dept. of Islamic Studies
2253,Institute of Education and Research
2255,Dept. of Islamic Studies
2256,Dept. of Sanskrit
2258,Dept. of Islamic Studies
2259,Dept. of Sanskrit
2285,Dept. of Islamic Studies
2286,Institute of Education and Research
2293,Institute of Education and Research
2312,Institute of Education and Research
2315,Dept. of Islamic Studies
2320,Institute of Education and Research
2328,Dept. of Sanskrit
2335,Dept. of Arabic
2341,Dept. of Arabic
2346,Dept. of Arabic
2365,Institute of Education and Research
2380,Dept. of Islamic Studies
2381,Dept. of Islamic Studies
2393,Dept. of Islamic Studies
2413,Dept. of Sanskrit
2415,Dept. of Sanskrit
2419,Dept. of Islamic Studies
2422,Dept. of Islamic Studies
2425,Dept. of Islamic Studies
2431,Dept. of Sanskrit
2432,Dept. of Sanskrit
2448,Dept. of Sanskrit
2451,Dept. of Islamic Studies
2459,Dept. of Islamic Studies
2480,Institute of Education and Research
2490,Institute of Education and Research
2493,Dept. of Arabic
2501,Dept. of Islamic Studies
2502,Dept. of Islamic Studies
2513,Dept. of Islamic Studies
2515,Dept. of Sanskrit
2531,Dept. of Islamic Studies
2540,Dept. of Sanskrit
2551,Dept. of Islamic Studies
2556,Dept. of Sanskrit
2575,Dept. of Arabic
2584,Dept. of Sanskrit
2596,Dept. of Sanskrit
2603,Dept. of Islamic Studies
2606,Dept. of Islamic Studies
2607,Dept. of Islamic Studies
2608,Dept. of Arabic
2609,Dept. of Islamic Studies
2619,Dept. of Islamic Studies
2634,Dept. of Sanskrit
2638,Dept. of Sanskrit
2640,Dept. of Islamic Studies
2650,Dept. of Islamic Studies
2651,Dept. of Islamic Studies
2652,Dept. of Islamic Studies
2653,Dept. of Sanskrit
2655,Dept. of Islamic Studies
2657,Dept. of Arabic
2658,Dept. of Arabic
2659,Dept. of Islamic Studies
2661,Dept. of Islamic Studies
2679,Dept. of Sanskrit
2680,Dept. of Islamic Studies
2697,Dept. of Islamic Studies
2706,Dept. of Sanskrit
2707,Dept. of Sanskrit
2709,Dept. of Islamic Studies
2715,Dept. of Sanskrit
2735,Institute of Education and Research
2748,Dept. of Islamic Studies
2750,Dept. of Islamic Studies
2753,Institute of Education and Research
2773,Dept. of Islamic Studies
2777,Dept. of Islamic Studies
2782,Dept. of Sanskrit
2805,Dept. of Sanskrit
2811,Dept. of Sanskrit
2817,Dept. of Islamic Studies
2823,Dept. of Islamic Studies
2825,Dept. of Islamic Studies
2828,Dept. of Islamic Studies
2830,Dept. of Sanskrit
2865,Dept. of Islamic Studies
2875,Dept. of Sanskrit
2886,Institute of Education and Research
2892,Dept. of Sanskrit
2895,Dept. of Sanskrit
2896,Dept. of Sanskrit
2903,Institute of Education and Research
2908,Dept. of Sanskrit
2917,Dept. of Islamic Studies
2922,Dept. of Islamic Studies
2927,Dept. of Islamic Studies
2930,Dept. of Sanskrit
